"PurchasePrice","MaintenanceCost","Doors","Passengers","Cargo","Safety","Acceptability"
"very high","very high","Interval[{5, Infinity}]",2,"large","low","unacceptable"
"very high","very high","Interval[{5, Infinity}]",2,"large","medium","unacceptable"
"very high","very high","Interval[{5, Infinity}]",2,"large","high","unacceptable"
"very high","very high","Interval[{5, Infinity}]",4,"small","low","unacceptable"
"very high","very high","Interval[{5, Infinity}]",4,"small","medium","unacceptable"
"very high","very high","Interval[{5, Infinity}]",4,"small","high","unacceptable"
"very high","very high","Interval[{5, Infinity}]",4,"medium","low","unacceptable"
"very high","very high","Interval[{5, Infinity}]",4,"medium","medium","unacceptable"
"very high","very high","Interval[{5, Infinity}]",4,"medium","high","unacceptable"
"very high","very high","Interval[{5, Infinity}]",4,"large","low","unacceptable"
"very high","very high","Interval[{5, Infinity}]",4,"large","medium","unacceptable"
"very high","very high","Interval[{5, Infinity}]",4,"large","high","unacceptable"
"very high","very high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","low","unacceptable"
"very high","very high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","very high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","high","unacceptable"
"very high","very high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","very high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","medium","unacceptable"
"very high","very high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","high","unacceptable"
"very high","very high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","low","unacceptable"
"very high","very high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","medium","unacceptable"
"very high","very high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","high","unacceptable"
"very high","high",2,2,"small","low","unacceptable"
"very high","high",2,2,"small","medium","unacceptable"
"very high","high",2,2,"small","high","unacceptable"
"very high","high",2,2,"medium","low","unacceptable"
"very high","high",2,2,"medium","medium","unacceptable"
"very high","high",2,2,"medium","high","unacceptable"
"very high","high",2,2,"large","low","unacceptable"
"very high","high",2,2,"large","medium","unacceptable"
"very high","high",2,2,"large","high","unacceptable"
"very high","high",2,4,"small","low","unacceptable"
"very high","high",2,4,"small","medium","unacceptable"
"very high","high",2,4,"small","high","unacceptable"
"very high","high",2,4,"medium","low","unacceptable"
"very high","high",2,4,"medium","medium","unacceptable"
"very high","high",2,4,"medium","high","unacceptable"
"very high","high",2,4,"large","low","unacceptable"
"very high","high",2,4,"large","medium","unacceptable"
"very high","high",2,4,"large","high","unacceptable"
"very high","high",2,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","high",2,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","high",2,"Interval[{5, Infinity}]","small","high","unacceptable"
"very high","high",2,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","high",2,"Interval[{5, Infinity}]","medium","medium","unacceptable"
"very high","high",2,"Interval[{5, Infinity}]","medium","high","unacceptable"
"very high","high",2,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","high",2,"Interval[{5, Infinity}]","large","medium","unacceptable"
"very high","high",2,"Interval[{5, Infinity}]","large","high","unacceptable"
"very high","high",3,2,"small","low","unacceptable"
"very high","high",3,2,"small","medium","unacceptable"
"very high","high",3,2,"small","high","unacceptable"
"very high","high",3,2,"medium","low","unacceptable"
"very high","high",3,2,"medium","medium","unacceptable"
"very high","high",3,2,"medium","high","unacceptable"
"very high","high",3,2,"large","low","unacceptable"
"very high","high",3,2,"large","medium","unacceptable"
"very high","high",3,2,"large","high","unacceptable"
"very high","high",3,4,"small","low","unacceptable"
"very high","high",3,4,"small","medium","unacceptable"
"very high","high",3,4,"small","high","unacceptable"
"very high","high",3,4,"medium","low","unacceptable"
"very high","high",3,4,"medium","medium","unacceptable"
"very high","high",3,4,"medium","high","unacceptable"
"very high","high",3,4,"large","low","unacceptable"
"very high","high",3,4,"large","medium","unacceptable"
"very high","high",3,4,"large","high","unacceptable"
"very high","high",3,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","high",3,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","high",3,"Interval[{5, Infinity}]","small","high","unacceptable"
"very high","high",3,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","high",3,"Interval[{5, Infinity}]","medium","medium","unacceptable"
"very high","high",3,"Interval[{5, Infinity}]","medium","high","unacceptable"
"very high","high",3,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","high",3,"Interval[{5, Infinity}]","large","medium","unacceptable"
"very high","high",3,"Interval[{5, Infinity}]","large","high","unacceptable"
"very high","high",4,2,"small","low","unacceptable"
"very high","high",4,2,"small","medium","unacceptable"
"very high","high",4,2,"small","high","unacceptable"
"very high","high",4,2,"medium","low","unacceptable"
"very high","high",4,2,"medium","medium","unacceptable"
"very high","high",4,2,"medium","high","unacceptable"
"very high","high",4,2,"large","low","unacceptable"
"very high","high",4,2,"large","medium","unacceptable"
"very high","high",4,2,"large","high","unacceptable"
"very high","high",4,4,"small","low","unacceptable"
"very high","high",4,4,"small","medium","unacceptable"
"very high","high",4,4,"small","high","unacceptable"
"very high","high",4,4,"medium","low","unacceptable"
"very high","high",4,4,"medium","medium","unacceptable"
"very high","high",4,4,"medium","high","unacceptable"
"very high","high",4,4,"large","low","unacceptable"
"very high","high",4,4,"large","medium","unacceptable"
"very high","high",4,4,"large","high","unacceptable"
"very high","high",4,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","high",4,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","high",4,"Interval[{5, Infinity}]","small","high","unacceptable"
"very high","high",4,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","high",4,"Interval[{5, Infinity}]","medium","medium","unacceptable"
"very high","high",4,"Interval[{5, Infinity}]","medium","high","unacceptable"
"very high","high",4,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","high",4,"Interval[{5, Infinity}]","large","medium","unacceptable"
"very high","high",4,"Interval[{5, Infinity}]","large","high","unacceptable"
"very high","high","Interval[{5, Infinity}]",2,"small","low","unacceptable"
"very high","high","Interval[{5, Infinity}]",2,"small","medium","unacceptable"
"very high","high","Interval[{5, Infinity}]",2,"small","high","unacceptable"
"very high","high","Interval[{5, Infinity}]",2,"medium","low","unacceptable"
"very high","high","Interval[{5, Infinity}]",2,"medium","medium","unacceptable"
"very high","high","Interval[{5, Infinity}]",2,"medium","high","unacceptable"
"very high","high","Interval[{5, Infinity}]",2,"large","low","unacceptable"
"very high","high","Interval[{5, Infinity}]",2,"large","medium","unacceptable"
"very high","high","Interval[{5, Infinity}]",2,"large","high","unacceptable"
"very high","high","Interval[{5, Infinity}]",4,"small","low","unacceptable"
"very high","high","Interval[{5, Infinity}]",4,"small","medium","unacceptable"
"very high","high","Interval[{5, Infinity}]",4,"small","high","unacceptable"
"very high","high","Interval[{5, Infinity}]",4,"medium","low","unacceptable"
"very high","high","Interval[{5, Infinity}]",4,"medium","medium","unacceptable"
"very high","high","Interval[{5, Infinity}]",4,"medium","high","unacceptable"
"very high","high","Interval[{5, Infinity}]",4,"large","low","unacceptable"
"very high","high","Interval[{5, Infinity}]",4,"large","medium","unacceptable"
"very high","high","Interval[{5, Infinity}]",4,"large","high","unacceptable"
"very high","high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","low","unacceptable"
"very high","high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","high","unacceptable"
"very high","high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","medium","unacceptable"
"very high","high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","high","unacceptable"
"very high","high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","low","unacceptable"
"very high","high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","medium","unacceptable"
"very high","high","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","high","unacceptable"
"very high","medium",2,2,"small","low","unacceptable"
"very high","medium",2,2,"small","medium","unacceptable"
"very high","medium",2,2,"small","high","unacceptable"
"very high","medium",2,2,"medium","low","unacceptable"
"very high","medium",2,2,"medium","medium","unacceptable"
"very high","medium",2,2,"medium","high","unacceptable"
"very high","medium",2,2,"large","low","unacceptable"
"very high","medium",2,2,"large","medium","unacceptable"
"very high","medium",2,2,"large","high","unacceptable"
"very high","medium",2,4,"small","low","unacceptable"
"very high","medium",2,4,"small","medium","unacceptable"
"very high","medium",2,4,"small","high","acceptable"
"very high","medium",2,4,"medium","low","unacceptable"
"very high","medium",2,4,"medium","medium","unacceptable"
"very high","medium",2,4,"medium","high","acceptable"
"very high","medium",2,4,"large","low","unacceptable"
"very high","medium",2,4,"large","medium","acceptable"
"very high","medium",2,4,"large","high","acceptable"
"very high","medium",2,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","medium",2,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","medium",2,"Interval[{5, Infinity}]","small","high","unacceptable"
"very high","medium",2,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","medium",2,"Interval[{5, Infinity}]","medium","medium","unacceptable"
"very high","medium",2,"Interval[{5, Infinity}]","medium","high","acceptable"
"very high","medium",2,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","medium",2,"Interval[{5, Infinity}]","large","medium","acceptable"
"very high","medium",2,"Interval[{5, Infinity}]","large","high","acceptable"
"very high","medium",3,2,"small","low","unacceptable"
"very high","medium",3,2,"small","medium","unacceptable"
"very high","medium",3,2,"small","high","unacceptable"
"very high","medium",3,2,"medium","low","unacceptable"
"very high","medium",3,2,"medium","medium","unacceptable"
"very high","medium",3,2,"medium","high","unacceptable"
"very high","medium",3,2,"large","low","unacceptable"
"very high","medium",3,2,"large","medium","unacceptable"
"very high","medium",3,2,"large","high","unacceptable"
"very high","medium",3,4,"small","low","unacceptable"
"very high","medium",3,4,"small","medium","unacceptable"
"very high","medium",3,4,"small","high","acceptable"
"very high","medium",3,4,"medium","low","unacceptable"
"very high","medium",3,4,"medium","medium","unacceptable"
"very high","medium",3,4,"medium","high","acceptable"
"very high","medium",3,4,"large","low","unacceptable"
"very high","medium",3,4,"large","medium","acceptable"
"very high","medium",3,4,"large","high","acceptable"
"very high","medium",3,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","medium",3,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","medium",3,"Interval[{5, Infinity}]","small","high","acceptable"
"very high","medium",3,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","medium",3,"Interval[{5, Infinity}]","medium","medium","acceptable"
"very high","medium",3,"Interval[{5, Infinity}]","medium","high","acceptable"
"very high","medium",3,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","medium",3,"Interval[{5, Infinity}]","large","medium","acceptable"
"very high","medium",3,"Interval[{5, Infinity}]","large","high","acceptable"
"very high","medium",4,2,"small","low","unacceptable"
"very high","medium",4,2,"small","medium","unacceptable"
"very high","medium",4,2,"small","high","unacceptable"
"very high","medium",4,2,"medium","low","unacceptable"
"very high","medium",4,2,"medium","medium","unacceptable"
"very high","medium",4,2,"medium","high","unacceptable"
"very high","medium",4,2,"large","low","unacceptable"
"very high","medium",4,2,"large","medium","unacceptable"
"very high","medium",4,2,"large","high","unacceptable"
"very high","medium",4,4,"small","low","unacceptable"
"very high","medium",4,4,"small","medium","unacceptable"
"very high","medium",4,4,"small","high","acceptable"
"very high","medium",4,4,"medium","low","unacceptable"
"very high","medium",4,4,"medium","medium","acceptable"
"very high","medium",4,4,"medium","high","acceptable"
"very high","medium",4,4,"large","low","unacceptable"
"very high","medium",4,4,"large","medium","acceptable"
"very high","medium",4,4,"large","high","acceptable"
"very high","medium",4,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","medium",4,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","medium",4,"Interval[{5, Infinity}]","small","high","acceptable"
"very high","medium",4,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","medium",4,"Interval[{5, Infinity}]","medium","medium","acceptable"
"very high","medium",4,"Interval[{5, Infinity}]","medium","high","acceptable"
"very high","medium",4,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","medium",4,"Interval[{5, Infinity}]","large","medium","acceptable"
"very high","medium",4,"Interval[{5, Infinity}]","large","high","acceptable"
"very high","medium","Interval[{5, Infinity}]",2,"small","low","unacceptable"
"very high","medium","Interval[{5, Infinity}]",2,"small","medium","unacceptable"
"very high","medium","Interval[{5, Infinity}]",2,"small","high","unacceptable"
"very high","medium","Interval[{5, Infinity}]",2,"medium","low","unacceptable"
"very high","medium","Interval[{5, Infinity}]",2,"medium","medium","unacceptable"
"very high","medium","Interval[{5, Infinity}]",2,"medium","high","unacceptable"
"very high","medium","Interval[{5, Infinity}]",2,"large","low","unacceptable"
"very high","medium","Interval[{5, Infinity}]",2,"large","medium","unacceptable"
"very high","medium","Interval[{5, Infinity}]",2,"large","high","unacceptable"
"very high","medium","Interval[{5, Infinity}]",4,"small","low","unacceptable"
"very high","medium","Interval[{5, Infinity}]",4,"small","medium","unacceptable"
"very high","medium","Interval[{5, Infinity}]",4,"small","high","acceptable"
"very high","medium","Interval[{5, Infinity}]",4,"medium","low","unacceptable"
"very high","medium","Interval[{5, Infinity}]",4,"medium","medium","acceptable"
"very high","medium","Interval[{5, Infinity}]",4,"medium","high","acceptable"
"very high","medium","Interval[{5, Infinity}]",4,"large","low","unacceptable"
"very high","medium","Interval[{5, Infinity}]",4,"large","medium","acceptable"
"very high","medium","Interval[{5, Infinity}]",4,"large","high","acceptable"
"very high","medium","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","low","unacceptable"
"very high","medium","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","medium","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","high","acceptable"
"very high","medium","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","medium","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","medium","acceptable"
"very high","medium","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","high","acceptable"
"very high","medium","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","low","unacceptable"
"very high","medium","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","medium","acceptable"
"very high","medium","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","high","acceptable"
"very high","low",2,2,"small","low","unacceptable"
"very high","low",2,2,"small","medium","unacceptable"
"very high","low",2,2,"small","high","unacceptable"
"very high","low",2,2,"medium","low","unacceptable"
"very high","low",2,2,"medium","medium","unacceptable"
"very high","low",2,2,"medium","high","unacceptable"
"very high","low",2,2,"large","low","unacceptable"
"very high","low",2,2,"large","medium","unacceptable"
"very high","low",2,2,"large","high","unacceptable"
"very high","low",2,4,"small","low","unacceptable"
"very high","low",2,4,"small","medium","unacceptable"
"very high","low",2,4,"small","high","acceptable"
"very high","low",2,4,"medium","low","unacceptable"
"very high","low",2,4,"medium","medium","unacceptable"
"very high","low",2,4,"medium","high","acceptable"
"very high","low",2,4,"large","low","unacceptable"
"very high","low",2,4,"large","medium","acceptable"
"very high","low",2,4,"large","high","acceptable"
"very high","low",2,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","low",2,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","low",2,"Interval[{5, Infinity}]","small","high","unacceptable"
"very high","low",2,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","low",2,"Interval[{5, Infinity}]","medium","medium","unacceptable"
"very high","low",2,"Interval[{5, Infinity}]","medium","high","acceptable"
"very high","low",2,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","low",2,"Interval[{5, Infinity}]","large","medium","acceptable"
"very high","low",2,"Interval[{5, Infinity}]","large","high","acceptable"
"very high","low",3,2,"small","low","unacceptable"
"very high","low",3,2,"small","medium","unacceptable"
"very high","low",3,2,"small","high","unacceptable"
"very high","low",3,2,"medium","low","unacceptable"
"very high","low",3,2,"medium","medium","unacceptable"
"very high","low",3,2,"medium","high","unacceptable"
"very high","low",3,2,"large","low","unacceptable"
"very high","low",3,2,"large","medium","unacceptable"
"very high","low",3,2,"large","high","unacceptable"
"very high","low",3,4,"small","low","unacceptable"
"very high","low",3,4,"small","medium","unacceptable"
"very high","low",3,4,"small","high","acceptable"
"very high","low",3,4,"medium","low","unacceptable"
"very high","low",3,4,"medium","medium","unacceptable"
"very high","low",3,4,"medium","high","acceptable"
"very high","low",3,4,"large","low","unacceptable"
"very high","low",3,4,"large","medium","acceptable"
"very high","low",3,4,"large","high","acceptable"
"very high","low",3,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","low",3,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","low",3,"Interval[{5, Infinity}]","small","high","acceptable"
"very high","low",3,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","low",3,"Interval[{5, Infinity}]","medium","medium","acceptable"
"very high","low",3,"Interval[{5, Infinity}]","medium","high","acceptable"
"very high","low",3,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","low",3,"Interval[{5, Infinity}]","large","medium","acceptable"
"very high","low",3,"Interval[{5, Infinity}]","large","high","acceptable"
"very high","low",4,2,"small","low","unacceptable"
"very high","low",4,2,"small","medium","unacceptable"
"very high","low",4,2,"small","high","unacceptable"
"very high","low",4,2,"medium","low","unacceptable"
"very high","low",4,2,"medium","medium","unacceptable"
"very high","low",4,2,"medium","high","unacceptable"
"very high","low",4,2,"large","low","unacceptable"
"very high","low",4,2,"large","medium","unacceptable"
"very high","low",4,2,"large","high","unacceptable"
"very high","low",4,4,"small","low","unacceptable"
"very high","low",4,4,"small","medium","unacceptable"
"very high","low",4,4,"small","high","acceptable"
"very high","low",4,4,"medium","low","unacceptable"
"very high","low",4,4,"medium","medium","acceptable"
"very high","low",4,4,"medium","high","acceptable"
"very high","low",4,4,"large","low","unacceptable"
"very high","low",4,4,"large","medium","acceptable"
"very high","low",4,4,"large","high","acceptable"
"very high","low",4,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","low",4,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","low",4,"Interval[{5, Infinity}]","small","high","acceptable"
"very high","low",4,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","low",4,"Interval[{5, Infinity}]","medium","medium","acceptable"
"very high","low",4,"Interval[{5, Infinity}]","medium","high","acceptable"
"very high","low",4,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","low",4,"Interval[{5, Infinity}]","large","medium","acceptable"
"very high","low",4,"Interval[{5, Infinity}]","large","high","acceptable"
"very high","low","Interval[{5, Infinity}]",2,"small","low","unacceptable"
"very high","low","Interval[{5, Infinity}]",2,"small","medium","unacceptable"
"very high","low","Interval[{5, Infinity}]",2,"small","high","unacceptable"
"very high","low","Interval[{5, Infinity}]",2,"medium","low","unacceptable"
"very high","low","Interval[{5, Infinity}]",2,"medium","medium","unacceptable"
"very high","low","Interval[{5, Infinity}]",2,"medium","high","unacceptable"
"very high","low","Interval[{5, Infinity}]",2,"large","low","unacceptable"
"very high","low","Interval[{5, Infinity}]",2,"large","medium","unacceptable"
"very high","low","Interval[{5, Infinity}]",2,"large","high","unacceptable"
"very high","low","Interval[{5, Infinity}]",4,"small","low","unacceptable"
"very high","low","Interval[{5, Infinity}]",4,"small","medium","unacceptable"
"very high","low","Interval[{5, Infinity}]",4,"small","high","acceptable"
"very high","low","Interval[{5, Infinity}]",4,"medium","low","unacceptable"
"very high","low","Interval[{5, Infinity}]",4,"medium","medium","acceptable"
"very high","low","Interval[{5, Infinity}]",4,"medium","high","acceptable"
"very high","low","Interval[{5, Infinity}]",4,"large","low","unacceptable"
"very high","low","Interval[{5, Infinity}]",4,"large","medium","acceptable"
"very high","low","Interval[{5, Infinity}]",4,"large","high","acceptable"
"very high","low","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","low","unacceptable"
"very high","low","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","low","Interval[{5, Infinity}]","Interval[{5, Infinity}]","small","high","acceptable"
"very high","low","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","low","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","medium","acceptable"
"very high","low","Interval[{5, Infinity}]","Interval[{5, Infinity}]","medium","high","acceptable"
"very high","low","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","low","unacceptable"
"very high","low","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","medium","acceptable"
"very high","low","Interval[{5, Infinity}]","Interval[{5, Infinity}]","large","high","acceptable"
"high","very high",2,2,"small","low","unacceptable"
"high","very high",2,2,"small","medium","unacceptable"
"high","very high",2,2,"small","high","unacceptable"
"high","very high",2,2,"medium","low","unacceptable"
"high","very high",2,2,"medium","medium","unacceptable"
"high","very high",2,2,"medium","high","unacceptable"
"high","very high",2,2,"large","low","unacceptable"
"high","very high",2,2,"large","medium","unacceptable"
"high","very high",2,2,"large","high","unacceptable"
"high","very high",2,4,"small","low","unacceptable"
"high","very high",2,4,"small","medium","unacceptable"
"high","very high",2,4,"small","high","unacceptable"
"high","very high",2,4,"medium","low","unacceptable"
"high","very high",2,4,"medium","medium","unacceptable"
"high","very high",2,4,"medium","high","unacceptable"
"high","very high",2,4,"large","low","unacceptable"
"high","very high",2,4,"large","medium","unacceptable"
"high","very high",2,4,"large","high","unacceptable"
"high","very high",2,"Interval[{5, Infinity}]","small","low","unacceptable"
"high","very high",2,"Interval[{5, Infinity}]","small","medium","unacceptable"
"high","very high",2,"Interval[{5, Infinity}]","small","high","unacceptable"
"high","very high",2,"Interval[{5, Infinity}]","medium","low","unacceptable"
"high","very high",2,"Interval[{5, Infinity}]","medium","medium","unacceptable"
"high","very high",2,"Interval[{5, Infinity}]","medium","high","unacceptable"
"high","very high",2,"Interval[{5, Infinity}]","large","low","unacceptable"
"high","very high",2,"Interval[{5, Infinity}]","large","medium","unacceptable"
"high","very high",2,"Interval[{5, Infinity}]","large","high","unacceptable"
"high","very high",3,2,"small","low","unacceptable"
"high","very high",3,2,"small","medium","unacceptable"
"high","very high",3,2,"small","high","unacceptable"
"high","very high",3,2,"medium","low","unacceptable"
"high","very high",3,2,"medium","medium","unacceptable"
"high","very high",3,2,"medium","high","unacceptable"
"high","very high",3,2,"large","low","unacceptable"
"high","very high",3,2,"large","medium","unacceptable"
"high","very high",3,2,"large","high","unacceptable"
"high","very high",3,4,"small","low","unacceptable"
"high","very high",3,4,"small","medium","unacceptable"
